trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9999875000260416}",20,0,-117.34780434665704,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
2,False,"{'a': 0.005, 'e': 0.9999500004166653}",20,0,-83.09491921012116,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.005, 'e': 0.9998875021093592}",20,0,-107.13616482337599,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.005, 'e': 0.9998000066665778}",20,0,-40.689514480782556,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.005, 'e': 0.9996875162757026}",30,0,-189.73224850163706,"{0: 15, 1: 9, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.005, 'e': 0.9995500337489875}",25,0,-116.92101879191637,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.005, 'e': 0.9993875625234886}",20,0,-129.63059483836693,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.005, 'e': 0.9992001066609779}",25,0,-92.61227216021872,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.005, 'e': 0.9989876708478425}",25,5,-65.1410203240079,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
10,False,"{'a': 0.005, 'e': 0.9987502603949663}",25,0,-81.58839605138401,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
11,False,"{'a': 0.005, 'e': 0.9984878812375985}",20,0,-123.87472081482083,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.005, 'e': 0.9982005399352042}",25,0,-117.24581006618922,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.005, 'e': 0.9978882436713011}",30,0,-125.50067981050627,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.005, 'e': 0.9975510002532796}",30,0,-129.31247645492462,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.005, 'e': 0.9971888181122075}",20,6,-129.99460276967326,"{0: 6, 1: 0, 2: 6, 3: 0, 4: 2}",1
16,False,"{'a': 0.005, 'e': 0.9968017063026194}",20,0,-98.55069061948879,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.005, 'e': 0.9963896745022904}",25,11,-48.31927146718388,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.005, 'e': 0.9959527330119943}",30,0,-195.31940623963848,"{0: 17, 1: 6, 2: 1, 3: 3, 4: 3}",0
19,False,"{'a': 0.005, 'e': 0.9954908927552453}",35,0,-166.16299430597456,"{0: 19, 1: 8, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.005, 'e': 0.9950041652780258}",25,0,-48.93878878696635,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.005, 'e': 0.9944925627484974}",20,0,-135.63475080426585,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 3}",0
22,False,"{'a': 0.005, 'e': 0.9939560979566968}",25,6,-98.45757913010802,"{0: 7, 1: 5, 2: 6, 3: 1, 4: 0}",1
23,False,"{'a': 0.005, 'e': 0.9933947843142158}",25,0,-177.58683877612478,"{0: 10, 1: 10, 2: 2, 3: 0, 4: 3}",0
24,False,"{'a': 0.005, 'e': 0.9928086358538663}",25,0,-146.94251128675435,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
25,False,"{'a': 0.005, 'e': 0.992197667229329}",25,0,-116.88141545145754,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
26,False,"{'a': 0.005, 'e': 0.9915618937147881}",25,0,-149.14938793437258,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
27,False,"{'a': 0.005, 'e': 0.9909013312045479}",30,0,-135.4739824591061,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.005, 'e': 0.9902159962126371}",20,0,-86.52739879388994,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
29,False,"{'a': 0.005, 'e': 0.9895059058723947}",25,0,-151.4267274295782,"{0: 11, 1: 6, 2: 5, 3: 2, 4: 1}",0
30,False,"{'a': 0.005, 'e': 0.9887710779360422}",20,0,-42.50835431642876,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.005, 'e': 0.9880115307742399}",20,0,-85.26511042807165,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
32,False,"{'a': 0.005, 'e': 0.9872272833756269}",25,11,-100.1566426807592,"{0: 7, 1: 0, 2: 5, 3: 1, 4: 1}",1
33,False,"{'a': 0.005, 'e': 0.9864183553463477}",25,0,-47.108087121899075,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
34,False,"{'a': 0.005, 'e': 0.9855847669095608}",25,0,-245.2828625373781,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
35,False,"{'a': 0.005, 'e': 0.9847265389049334}",25,0,-179.2278994190558,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
36,False,"{'a': 0.005, 'e': 0.9838436927881214}",20,0,-110.78847954703782,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.005, 'e': 0.9829362506302315}",20,0,-77.06461557157182,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
38,False,"{'a': 0.005, 'e': 0.9820042351172703}",20,0,-70.25186415882632,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
39,False,"{'a': 0.005, 'e': 0.9810476695495772}",30,0,-50.8892454880781,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
40,False,"{'a': 0.005, 'e': 0.9800665778412416}",20,11,-5.474920439694461,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.005, 'e': 0.9790609845195051}",30,0,-134.97390094734368,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
42,False,"{'a': 0.005, 'e': 0.9780309147241483}",20,0,-214.63749734310468,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
43,False,"{'a': 0.005, 'e': 0.9769763942068623}",20,0,-175.79208688858947,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
44,False,"{'a': 0.005, 'e': 0.9758974493306055}",30,0,-147.3886181881469,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.005, 'e': 0.9747941070689433}",25,15,8.193302012834401,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.005, 'e': 0.9736663950053749}",30,0,-218.27663076941357,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
47,False,"{'a': 0.005, 'e': 0.972514341332643}",30,0,-20.457210594084437,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.005, 'e': 0.9713379748520297}",30,0,-213.27683640035448,"{0: 18, 1: 4, 2: 3, 3: 1, 4: 4}",0
49,False,"{'a': 0.005, 'e': 0.9701373249726354}",25,0,-113.5032362289198,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
50,False,"{'a': 0.005, 'e': 0.9689124217106447}",25,10,-136.4835862686975,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 3}",1
51,False,"{'a': 0.005, 'e': 0.9676632956885756}",20,0,-110.36351128160175,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
52,False,"{'a': 0.005, 'e': 0.9663899781345132}",25,0,-103.11657210861293,"{0: 19, 1: 2, 2: 0, 3: 2, 4: 2}",0
53,False,"{'a': 0.005, 'e': 0.9650925008813303}",30,16,-57.0839669515293,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
54,False,"{'a': 0.005, 'e': 0.9637708963658905}",20,0,-201.47288271287434,"{0: 6, 1: 2, 2: 8, 3: 2, 4: 2}",0
55,False,"{'a': 0.005, 'e': 0.962425197628238}",25,0,-100.25119695848578,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
56,False,"{'a': 0.005, 'e': 0.9610554383107709}",20,0,-71.26619152864657,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
57,False,"{'a': 0.005, 'e': 0.9596616526574011}",30,0,-122.00868651433285,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.005, 'e': 0.9582438755126972}",20,0,-104.08583327682405,"{0: 7, 1: 7, 2: 5, 3: 1, 4: 0}",0
59,False,"{'a': 0.005, 'e': 0.9568021423210139}",20,0,-161.54120591676383,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
60,False,"{'a': 0.005, 'e': 0.955336489125606}",25,0,-262.9504850531474,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 5}",0
61,False,"{'a': 0.005, 'e': 0.9538469525677271}",25,16,-119.51931810251543,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 3}",1
62,False,"{'a': 0.005, 'e': 0.9523335698857134}",25,0,-183.32422357535964,"{0: 11, 1: 6, 2: 4, 3: 2, 4: 2}",0
63,False,"{'a': 0.005, 'e': 0.9507963789140532}",20,0,-217.31934916640319,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 3}",0
64,False,"{'a': 0.005, 'e': 0.9492354180824408}",25,0,-183.00769525648093,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
65,False,"{'a': 0.005, 'e': 0.9476507264148157}",20,0,-31.516475016180657,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
66,False,"{'a': 0.005, 'e': 0.946042343528387}",25,0,-78.28578938362885,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
67,False,"{'a': 0.005, 'e': 0.944410309632643}",20,0,-150.38159413811783,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
68,False,"{'a': 0.005, 'e': 0.9427546655283462}",20,0,-33.374091207412526,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
69,False,"{'a': 0.005, 'e': 0.941075452606513}",30,0,-135.22145202469494,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
70,False,"{'a': 0.005, 'e': 0.9393727128473789}",20,0,-63.00748083240844,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
71,False,"{'a': 0.005, 'e': 0.9376464888193493}",20,0,-79.453343397715,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.005, 'e': 0.9358968236779348}",30,0,-121.05779869541817,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
73,False,"{'a': 0.005, 'e': 0.9341237611646731}",25,0,-172.84062175160787,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
74,False,"{'a': 0.005, 'e': 0.9323273456060345}",20,0,-18.131454305422533,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
75,False,"{'a': 0.005, 'e': 0.9305076219123143}",25,0,-93.98215176999534,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
76,False,"{'a': 0.005, 'e': 0.9286646355765102}",25,0,-88.6988971979705,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
77,False,"{'a': 0.005, 'e': 0.9267984326731847}",20,0,-102.92801632218024,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
78,False,"{'a': 0.005, 'e': 0.9249090598573131}",30,0,-111.2502411644566,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
79,False,"{'a': 0.005, 'e': 0.9229965643631173}",20,1,-59.60237924412744,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 0}",1
80,False,"{'a': 0.005, 'e': 0.9210609940028851}",20,0,-51.44288611485837,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
81,False,"{'a': 0.005, 'e': 0.9191023971657747}",30,0,-133.3928483201591,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
82,False,"{'a': 0.005, 'e': 0.9171208228166051}",20,8,-70.8956955645387,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 1}",1
83,False,"{'a': 0.005, 'e': 0.9151163204946318}",20,0,-165.11351406386046,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
84,False,"{'a': 0.005, 'e': 0.9130889403123083}",20,0,-103.58806206772472,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
85,False,"{'a': 0.005, 'e': 0.9110387329540337}",20,0,-173.60582473654884,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
86,False,"{'a': 0.005, 'e': 0.9089657496748851}",20,0,-117.06051783579481,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
87,False,"{'a': 0.005, 'e': 0.9068700422993367}",20,0,-33.400887050808656,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
88,False,"{'a': 0.005, 'e': 0.9047516632199634}",20,0,-52.65383555090287,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
89,False,"{'a': 0.005, 'e': 0.9026106653961321}",20,0,-54.7607166484137,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.005, 'e': 0.9004471023526769}",20,0,-99.70215891283496,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
91,False,"{'a': 0.005, 'e': 0.8982610281785611}",20,6,-73.32099735467217,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 1}",1
92,False,"{'a': 0.005, 'e': 0.8960524975255252}",25,0,-96.59390594310098,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
93,False,"{'a': 0.005, 'e': 0.8938215656067205}",30,0,-141.97072039428383,"{0: 14, 1: 8, 2: 6, 3: 1, 4: 1}",0
94,False,"{'a': 0.005, 'e': 0.891568288195329}",20,0,-59.71327831576593,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
95,False,"{'a': 0.005, 'e': 0.8892927216231682}",20,0,-90.3551550431165,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
96,False,"{'a': 0.005, 'e': 0.8869949227792842}",20,0,-21.70969550140839,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
97,False,"{'a': 0.005, 'e': 0.8846749491085283}",30,22,13.065982481144788,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.005, 'e': 0.8823328586101215}",25,10,-28.221846781658893,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 0}",1
99,False,"{'a': 0.005, 'e': 0.8799687098362042}",20,0,-33.48783873128769,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
100,False,"{'a': 0.005, 'e': 0.8775825618903728}",25,0,-43.19891073278964,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
101,False,"{'a': 0.005, 'e': 0.8751744744262013}",20,0,-146.91841661179947,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
102,False,"{'a': 0.005, 'e': 0.8727445076457513}",20,0,-62.05977192061348,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
103,False,"{'a': 0.005, 'e': 0.8702927222980654}",30,0,-156.4839197322007,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
104,False,"{'a': 0.005, 'e': 0.8678191796776499}",25,0,-125.44986707632295,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
105,False,"{'a': 0.005, 'e': 0.8653239416229412}",30,1,-47.277066120079354,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 0}",1
106,False,"{'a': 0.005, 'e': 0.862807070514761}",20,0,-197.72803318593918,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
107,False,"{'a': 0.005, 'e': 0.8602686292747557}",20,0,-61.392958261119205,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
108,False,"{'a': 0.005, 'e': 0.8577086813638242}",25,0,-112.23992083968331,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
