trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.8714339835376,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.3028583960508,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.77348290765575,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.09995316596249,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.43355233863292,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-114.75227850631387,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.01505129867686,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.47396600106833,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.99001601542048,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-255.8140674790179,"{0: 10, 1: 5, 2: 4, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.45480982660669,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.318922466006,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.257996155108,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.4320074509503,"{0: 14, 1: 4, 2: 10, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,4,-59.20663711736221,"{0: 14, 1: 3, 2: 2, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.20217640930105,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.71843338589383,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.9664958911892,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.3505881960929,"{0: 7, 1: 5, 2: 11, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.8873067428909,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-185.4524412363786,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.32411165599638,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-191.16747790405822,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-44.191170207573265,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.47161807640978,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-197.64976730008377,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-150.93084279395472,"{0: 13, 1: 6, 2: 2, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-273.5350106834073,"{0: 17, 1: 9, 2: 3, 3: 1, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-170.44504452293498,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-151.2584020103,"{0: 11, 1: 8, 2: 4, 3: 0, 4: 2}",0
